"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ritis","ritis","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,NA,"solrium (>= 1.1.4), crul (>= 0.9.0), jsonlite, data.table,
tibble",NA,"testthat, webmockr, vcr (>= 0.5.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rJava","rJava","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-6",NA,"R (>= 3.6.0), methods",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.0.5"
"rjson","rjson","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.21",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"rlang","rlang","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"rmarkdown","rmarkdown","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.13",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.3.5),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.30), yaml
(>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, tufte, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"rnaturalearth","rnaturalearth","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,"R (>= 3.1.1)","sp (>= 1.0.15), utils (>= 3.2.3), sf (>= 0.3-4)",NA,"rgdal, knitr (>= 1.12.3), testthat (>= 0.9.1), httr (>=
1.1.0), devtools (>= 1.10.0), rnaturalearthdata (>= 0.1.0),
rnaturalearthhires (>= 0.1.0), raster (>= 2.5-2), rgeos",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rnaturalearthdata","rnaturalearthdata","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,"R (>= 3.1.1)","sp (>= 1.0.15)",NA,"knitr (>= 1.12.3), testthat (>= 0.9.1)",NA,"CC0",NA,NA,NA,NA,"no","4.0.5"
"rncl","rncl","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.6",NA,"R (>= 3.1.1)","Rcpp (>= 0.11.0), progress (>= 1.1.2), stats","Rcpp, progress","testthat, ape",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"RNetCDF","RNetCDF","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.5-2",NA,"R (>= 3.0.0)",NA,NA,"bit64","pbdMPI","GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"RNeXML","RNeXML","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.4.6",NA,"R (>= 3.0.0), ape (>= 3.1), methods (>= 3.0.0)","XML (>= 3.95), plyr (>= 1.8), reshape2 (>= 1.2.2), httr (>=
0.3), uuid (>= 0.1-1), dplyr (>= 0.5.0), lazyeval (>= 0.1.0),
tidyr (>= 0.3.1), stringr (>= 1.0), stringi, xml2, rlang",NA,"spelling, rdflib, geiger (>= 2.0), phytools (>= 0.3.93),
knitr (>= 1.5), rfigshare (>= 0.3.0), knitcitations (>= 1.0.1),
testthat (>= 0.10.0), rmarkdown (>= 0.3.3), xslt, covr,
taxalight",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"robustbase","robustbase","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.95-0",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"RODBC","RODBC","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3-19",NA,"R (>= 4.0.0)","stats",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"ROI","ROI","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-0",NA,"R (>= 2.10)","methods, registry (>= 0.5), slam, utils",NA,"numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"rosm","rosm","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.5",NA,NA,"curl, abind, jpeg, png, sp, rgdal, rjson, methods, plyr,
prettymapr, tools",NA,"cartography, raster, testthat, covr, withr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"rotl","rotl","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.0.12",NA,"R (>= 3.1.1)","ape, assertthat (>= 0.1), httr, jsonlite, rentrez, rncl (>=
0.6.0)",NA,"knitr (>= 1.12), MCMCglmm, phylobase, readxl, rmarkdown (>=
0.7), RNeXML, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"roxygen2","roxygen2","C:/Users/sarah.salois/Documents/r/win-library/4.0","7.2.1",NA,"R (>= 3.3)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), digest,
knitr, methods, pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>=
2.1.2), rlang (>= 1.0.0), stringi, stringr (>= 1.0.0), utils,
withr, xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown, testthat (>= 3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"rprojroot","rprojroot","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rredlist","rredlist","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7.0",NA,NA,"crul (>= 0.3.8), jsonlite (>= 1.1)",NA,"testthat, vcr (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rsample","rsample","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.1",NA,"R (>= 3.2)","dplyr (>= 1.0.0), ellipsis, furrr, generics, lifecycle,
methods, purrr, rlang (>= 0.4.10), slider (>= 0.1.5), tibble,
tidyr, tidyselect, vctrs (>= 0.3.0)",NA,"broom, covr, ggplot2, knitr, modeldata, recipes (>= 0.1.4),
rmarkdown, stats, testthat, utils, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rsconnect","rsconnect","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.25",NA,"R (>= 3.0.0)","curl, digest, jsonlite, openssl, packrat (>= 0.6), rstudioapi
(>= 0.5), tools, yaml (>= 2.1.5)",NA,"RCurl, callr, httpuv, knitr, plumber (>= 0.3.2), reticulate,
rmarkdown (>= 1.1), shiny, sourcetools, testthat, xtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"Rsolnp","Rsolnp","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.16",NA,"R (>= 2.10.0)","truncnorm, parallel, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"RSQLite","RSQLite","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.2.12",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 1.0.7)","plogr (>= 0.2.0), Rcpp","callr, DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms,
rvest, testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.0.5"
"rstan","rstan","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.21.5",NA,"R (>= 3.4.0), StanHeaders (>= 2.21.0), ggplot2 (>= 3.0.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0), RcppParallel (>= 5.0.1), loo (>= 2.3.0), pkgbuild","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>=
1.72.0-2), StanHeaders (>= 2.21.0), RcppParallel","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.72.0-2), parallel,
KernSmooth, shinystan (>= 2.3.0), bayesplot (>= 1.5.0),
rmarkdown, rstantools, rstudioapi, Matrix, knitr (>= 1.15.1),
V8",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"rstantools","rstantools","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.2.0",NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"rstatix","rstatix","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7.0",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.0.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"rstudioapi","rstudioapi","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rts","rts","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-3",NA,"R (>= 3.5.0), terra, xts","methods, sp (>= 1.4.1), zoo, RCurl, raster",NA,"digest, R.rsp",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"Rttf2pt1","Rttf2pt1","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.10",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.0.5"
"Rvcg","Rvcg","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.21",NA,"R (>= 3.1.0)","Rcpp, grDevices, stats, utils","Rcpp, RcppEigen, RcppArmadillo","Morpho, rgl",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"rversions","rversions","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rvest","rvest","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.2",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rworldmap","rworldmap","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3-6",NA,"R (>= 2.10.0), sp","maptools, fields, methods",NA,"rgdal, rworldxtra, RColorBrewer, classInt",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"s2","s2","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.0.5"
"sampSurf","sampSurf","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7-6",NA,"R (>= 3.0.0), methods, sp(>= 1.3-0), raster(>= 2.9-5), boot
(>= 1.3-3)","lattice(>= 0.20-35), latticeExtra (>= 0.6-28), rasterVis(>=
0.45)",NA,"rgl (>= 0.10-19), rgeos (>= 0.4-3)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"sandwich","sandwich","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.0-1",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.5"
"sass","sass","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.1",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"satellite","satellite","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.4",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), terra, tools, stats4","Rcpp","devtools, knitr, rgdal, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"scales","scales","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"scatterplot3d","scatterplot3d","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3-41",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"sciplot","sciplot","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2-0",NA,"stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"segmented","segmented","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5-0",NA,"MASS",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"selectr","selectr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.0.4"
"seqinr","seqinr","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.2-8",NA,"R (>= 2.10.0)","ade4,segmented",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"servr","servr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.24",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"sessioninfo","sessioninfo","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"sfheaders","sfheaders","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"sfsmisc","sfsmisc","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-13",NA,"R (>= 3.3.0)","grDevices, utils, stats, tools",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern","mgcv, rpart, nor1mix, polycor, sm, tikzDevice, e1071, Hmisc,
gmp, pastecs, polynom, robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"shadowtext","shadowtext","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.2",NA,"R (>= 3.4.0)","ggplot2, grid, scales",NA,"knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.5"
"shape","shape","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"shiny","shiny","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.2.1), htmltools (>=
0.5.2), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"shinydashboard","shinydashboard","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7.2",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"shinythemes","shinythemes","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"signal","signal","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7-7",NA,"R (>= 3.5.0)","MASS, graphics, grDevices, stats, utils",NA,"pracma","matlab","GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"slam","slam","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1-50",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"slider","slider","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.2",NA,"R (>= 3.3.0)","ellipsis (>= 0.3.1), glue, rlang (>= 0.4.5), vctrs (>= 0.3.6),
warp","vctrs (>= 0.3.6)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"slippymath","slippymath","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.1",NA,"R (>= 3.5.0)","raster, purrr, stats, png",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"smoothr","smoothr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.2",NA,"R (>= 3.1.2)","methods, raster, rgeos, sf, stats, units",NA,"covr, knitr, lwgeom, rmarkdown, sp, terra, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"sna","sna","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.6",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"snakecase","snakecase","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.11.0",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"snow","snow","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.0.5"
"sodium","sodium","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,NA,NA,NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"softImpute","softImpute","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4-1",NA,"Matrix, methods",NA,NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"solrium","solrium","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,NA,"utils, dplyr (>= 0.5.0), plyr (>= 1.8.4), crul (>= 0.4.0),
xml2 (>= 1.0.0), jsonlite (>= 1.0), tibble (>= 1.4.2), R6",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"sourcetools","sourcetools","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"sp","sp","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4-5",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"spacetime","spacetime","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2-6",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes (>= 2.0), foreign, gstat (>= 1.0-16),
maps, mapdata, maptools, plm, raster, RColorBrewer, rgdal,
rgeos, rmarkdown, RPostgreSQL, knitr, googleVis, ISOcodes,
markdown, sf",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"spam","spam","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.8-0",NA,"R (>= 3.1)","dotCall64, grid, methods",NA,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"spaMM","spaMM","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.11.14",NA,"R (>= 3.2.0)","methods, stats, graphics, Matrix, MASS, proxy, Rcpp (>=
0.12.10), nlme, nloptr, minqa, pbapply, crayon, gmp (>= 0.6.0),
ROI, boot, geometry (>= 0.4.0)","Rcpp, RcppEigen (>= 0.3.3.5.0)","maps, testthat, lme4, rsae, rcdd, pedigreemm, foreach,
future, future.apply, multilevel, Infusion (>= 1.3.0), IsoriX
(>= 0.8.1), blackbox (>= 1.1.25), RSpectra, ROI.plugin.glpk,
memoise (>= 2.0.0), agridat","multcomp, RLRsim","CeCILL-2",NA,NA,NA,NA,"yes","4.0.5"
"sparklyr","sparklyr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7.5",NA,"R (>= 3.2)","assertthat, base64enc, blob, config (>= 0.2), DBI (>= 0.6-1),
dbplyr (>= 1.1.0), digest, dplyr (>= 0.7.2), ellipsis (>=
0.1.0), forge, generics, globals, glue, httr (>= 1.2.1),
jsonlite (>= 1.4), lifecycle, methods, openssl (>= 0.8), purrr,
r2d3, rappdirs, rlang (>= 0.1.4), rprojroot, rstudioapi (>=
0.10), stringr, tibble, tidyr (>= 1.2.0), tidyselect, uuid,
vctrs, withr, xml2",NA,"arrow (>= 0.14.0), broom, diffobj, foreach, ggplot2,
iterators, janeaustenr, Lahman, mlbench, nnet, nycflights13,
R6, RCurl, reshape2, shiny (>= 1.0.1), testthat",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"SparseM","SparseM","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.4"
"spatial","spatial","C:/Users/sarah.salois/Documents/r/win-library/4.0","7.3-15","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"spatialEco","spatialEco","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3-7",NA,"R (>= 4.0)","sp, sf, raster, spatstat.geom, spatstat.core, spdep, rgeos,
MASS, methods",NA,"exactextractr, cluster, readr, RCurl, RANN, rms, yaImpute,
SpatialPack (>= 0.3), mgcv, EnvStats, maptools, GeNetIt, gstat,
RStoolbox, terra, tabularaster, stringr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"SpatialEpi","SpatialEpi","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.7",NA,"R (>= 3.0.2), sp","Rcpp, MASS, maptools, spdep","Rcpp, RcppArmadillo","rmarkdown, markdown, knitr, testthat (>= 3.0.0), ggplot2,
dplyr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"SpatialKDE","SpatialKDE","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7.0",NA,NA,"Rcpp, sf, dplyr, glue, magrittr, rlang, vctrs, methods, raster","Rcpp","tmap, sp, knitr, rgdal, rmarkdown, testthat (>= 2.99.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"spatstat","spatstat","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3-4",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-2), spatstat.geom (>=
2.4-0), spatstat.random (>= 2.2-0), spatstat.core (>= 2.4-1),
spatstat.linnet (>= 2.3-2), utils","spatstat.utils (>= 2.3-0)",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"spatstat.core","spatstat.core","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.4-2",NA,"R (>= 3.5.0), spatstat.data (>= 2.1-0), spatstat.geom (>=
2.4-0), spatstat.random (>= 2.2-0), stats, graphics, grDevices,
utils, methods, nlme, rpart","spatstat.utils (>= 2.3-0), spatstat.sparse (>= 2.0-0), mgcv,
Matrix, abind, tensor, goftest (>= 1.2-2)",NA,"sm, maptools (>= 0.9-9), gsl, locfit, spatial, RandomFields
(>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1), fftwtools (>=
0.9-8), nleqslv, spatstat.linnet (>= 2.0-0), spatstat (>=
2.3-3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"spatstat.data","spatstat.data","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.2-0",NA,"R (>= 3.5.0)","spatstat.utils (>= 2.1-0), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.core,
spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
